MZ,LOTE,AREA,PRECIO,CONDICION,ASESOR,LADO_1,LADO_2,LADO_3,LADO_4,FRENTE_LADO,ES_ESQUINA,AL_LADO_PARQUE
A,1,116.86 m2,"S/ 41,017.86",VENDIDO,MARTIN,19.33,6.00,19.62,6.01,,,
A,2,118.62 m2,"S/ 30,841.20",,,19.62,5.97,19.90,5.98,,,
A,3,120.37 m2,"S/ 31,298.80",,,19.90,6.00,20.22,6.01,,,
A,4,122.13 m2,"S/ 31,753.80",,,20.22,5.97,20.51,5.98,,,
A,5,123.89 m2,"S/ 32,211.40",,,20.51,6.00,20.80,6.01,,,
A,6,125.65 m2,"S/ 32,669.00",,,20.80,5.97,21.08,5.98,,,
A,7,127.41 m2,"S/ 33,126.60",,,21.08,6.00,21.40,6.01,,,
A,8,129.17 m2,"S/ 33,584.20",,,21.40,5.97,21.69,5.98,,,
A,9,130.93 m2,"S/ 34,041.80",,,21.69,6.00,21.98,6.01,,,
A,10,132.69 m2,"S/ 34,499.40",,,21.98,5.97,22.26,5.98,,,
A,11,134.45 m2,"S/ 34,957.00",,,22.26,6.00,22.55,6.01,,,
A,12,161.90 m2,"S/ 50,512.80",,,8.54,17.94,9.43,17.96,,,
A,13,126.00 m2,"S/ 32,760.00",,,7.01,17.94,7.01,17.94,,,
A,14,126.00 m2,"S/ 32,760.00",,,7.01,17.94,7.01,17.94,,,
A,15,126.00 m2,"S/ 32,760.00",,,7.01,17.94,7.01,17.94,,,
A,16,126.00 m2,"S/ 32,760.00",,,7.01,17.94,7.01,17.94,,,
A,17,126.00 m2,"S/ 44,226.00",SEPARADO,MARTIN,7.01,17.94,7.01,17.94,,,
A,18,126.00 m2,"S/ 32,760.00",,,21.02,6.00,21.02,6.00,,,
A,19,126.00 m2,"S/ 32,760.00",,,21.02,5.97,21.02,5.97,,,
A,20,126.00 m2,"S/ 32,760.00",,,21.02,6.00,21.02,6.00,,,
A,21,126.00 m2,"S/ 32,760.00",,,21.02,5.97,21.02,5.97,,,
A,22,126.00 m2,"S/ 32,760.00",,,21.02,6.00,21.02,6.00,,,
A,23,126.00 m2,"S/ 32,760.00",,,21.02,5.97,21.02,5.97,,,
A,24,126.00 m2,"S/ 32,760.00",,,21.02,6.00,21.02,6.00,,,
A,25,126.00 m2,"S/ 32,760.00",,,21.02,5.97,21.02,5.97,,,
A,26,126.00 m2,"S/ 32,760.00",,,21.02,6.00,21.02,6.00,,,
A,27,126.00 m2,"S/ 32,760.00",SEPARADO,JOHAN,21.02,5.97,21.02,5.97,,,
A,28,126.00 m2,"S/ 44,226.00",SEPARADO,JOHAN,21.02,6.00,21.02,6.00,,,
B,1,148.06 m2,"S/ 51,969.06",SEPARADO,PAOLA,20.01,7.14,20.00,7.62,,,
B,2,120.00 m2,"S/ 40,560.00",VENDIDO,PAOLA,20.00,5.97,20.00,5.97,,,
B,3,120.00 m2,"S/ 40,560.00",VENDIDO,VICTOR,20.00,6.00,20.00,6.00,,,
B,4,120.00 m2,"S/ 40,560.00",SEPARADO,BETTY,20.00,5.97,20.00,5.97,,,
B,5,120.00 m2,"S/ 31,200.00",SEPARADO,BETTY,20.00,6.00,20.00,6.00,,,
B,6,120.00 m2,"S/ 31,200.00",SEPARADO,BETTY,20.00,5.97,20.00,5.97,,,
B,7,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,8,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,9,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,10,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,11,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,12,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,13,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,14,120.00 m2,"S/ 31,200.00",VENDIDO,,20.00,5.97,20.00,5.97,,,
B,15,120.00 m2,"S/ 31,200.00",VENDIDO,,20.00,6.00,20.00,6.00,,,
B,16,144.00 m2,"S/ 50,544.00",VENDIDO,,7.99,17.94,7.99,17.94,,,
B,17,108.00 m2,"S/ 36,504.00",,,5.99,17.94,5.99,17.94,,,
B,18,108.00 m2,"S/ 36,504.00",,,6.02,17.94,6.02,17.94,,,
B,19,108.00 m2,"S/ 36,504.00",SEPARADO,PAOLA,5.99,17.94,5.99,17.94,,,
B,20,108.00 m2,"S/ 36,504.00",SEPARADO,PAOLA,6.02,17.94,6.02,17.94,,,
B,21,144.00 m2,"S/ 50,544.00",SEPARADO,MARTIN,7.99,17.94,7.99,17.94,,,
B,22,120.00 m2,"S/ 31,200.00",VENDIDO,,20.00,6.00,20.00,6.00,,,
B,23,120.00 m2,"S/ 31,200.00",VENDIDO,,20.00,5.97,20.00,5.97,,,
B,24,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
