MZ;LOTE;ESQUINA;MEDIANERO;PARQUE;VIA PRINCIPAL;M2;AREA;PRECIO MIN;PRECIO REF
C;8;1;0;0;0;335;183.05;61,321.75;64,067.50
N;9;1;0;0;0;335;179.69;60,196.15;62,891.50
X;20;1;0;0;0;335;166.41;55,747.35;58,243.50
C;7;0;1;0;0;325;169.85;55,201.25;57,749.00
N;10;0;1;0;0;325;169.55;55,103.75;57,647.00
M;18;1;0;0;0;335;163.63;54,816.05;57,270.50
B;13;1;0;0;0;335;160.42;53,740.70;56,147.00
N;11;0;1;0;0;325;160.36;52,117.00;54,522.40
C;6;0;1;0;0;325;159.71;51,905.75;54,301.40
L;19;1;0;0;1;345;146.71;50,614.95;52,815.60
M;1;1;0;0;1;345;144.15;49,731.75;51,894.00
M;19;0;1;0;0;325;152.75;49,643.75;51,935.00
L;23;1;0;0;1;345;143.8;49,611.00;51,768.00
M;5;1;0;0;1;345;143.8;49,611.00;51,768.00
N;12;0;1;0;0;325;151.16;49,127.00;51,394.40
C;5;0;1;0;0;325;149.56;48,607.00;50,850.40
D;1;1;0;1;0;345;140.28;48,396.60;50,500.80
D;8;1;0;1;0;345;140.28;48,396.60;50,500.80
E;1;1;0;1;0;345;140.28;48,396.60;50,500.80
E;8;1;0;1;0;345;140.28;48,396.60;50,500.80
D;2;0;0;1;0;340;140.28;47,695.20;49,799.40
D;3;0;0;1;0;340;140.28;47,695.20;49,799.40
D;4;0;0;1;0;340;140.28;47,695.20;49,799.40
D;5;0;0;1;0;340;140.28;47,695.20;49,799.40
D;6;0;0;1;0;340;140.28;47,695.20;49,799.40
D;7;0;0;1;0;340;140.28;47,695.20;49,799.40
E;2;0;0;1;0;340;140.28;47,695.20;49,799.40
E;3;0;0;1;0;340;140.28;47,695.20;49,799.40
E;4;0;0;1;0;340;140.28;47,695.20;49,799.40
E;5;0;0;1;0;340;140.28;47,695.20;49,799.40
E;6;0;0;1;0;340;140.28;47,695.20;49,799.40
E;7;0;0;1;0;340;140.28;47,695.20;49,799.40
F;1;1;0;0;1;345;137.65;47,489.25;49,554.00
F;8;1;0;0;1;345;137.65;47,489.25;49,554.00
L;20;0;0;0;1;330;143.8;47,454.00;49,611.00
L;21;0;0;0;1;330;143.8;47,454.00;49,611.00
L;22;0;0;0;1;330;143.8;47,454.00;49,611.00
M;2;0;0;0;1;330;143.8;47,454.00;49,611.00
M;3;0;0;0;1;330;143.8;47,454.00;49,611.00
M;4;0;0;0;1;330;143.8;47,454.00;49,611.00
G;1;1;0;0;1;345;136.36;47,044.20;49,089.60
G;8;1;0;0;1;345;136.36;47,044.20;49,089.60
N;1;1;0;0;0;335;140.12;46,940.20;49,042.00
N;8;1;0;0;0;335;140.12;46,940.20;49,042.00
H;1;1;0;1;0;345;135.19;46,640.55;48,668.40
H;8;1;0;1;0;345;135.19;46,640.55;48,668.40
Q;8;1;0;0;1;345;134.72;46,478.40;48,499.20
O;1;1;0;1;0;345;134.16;46,285.20;48,297.60
P;1;1;0;1;0;345;134.16;46,285.20;48,297.60
O;8;1;0;1;0;345;133.91;46,198.95;48,207.60
P;8;1;0;1;0;345;133.9;46,195.50;48,204.00
M;20;0;1;0;0;325;142.03;46,159.75;48,290.20
N;13;0;1;0;0;325;141.97;46,140.25;48,269.80
B;1;1;0;1;0;345;133.6;46,092.00;48,096.00
I;1;1;0;1;0;345;133.58;46,085.10;48,088.80
I;8;1;0;1;0;345;133.58;46,085.10;48,088.80
Q;1;1;0;0;1;345;133.45;46,040.25;48,042.00
R;1;1;0;0;1;345;133.45;46,040.25;48,042.00
R;8;1;0;0;1;345;133.45;46,040.25;48,042.00
S;1;1;0;1;0;345;133.45;46,040.25;48,042.00
S;8;1;0;1;0;345;133.45;46,040.25;48,042.00
T;1;1;0;1;0;345;133.45;46,040.25;48,042.00
T;8;1;0;1;0;345;133.45;46,040.25;48,042.00
U;1;1;0;1;0;345;133.45;46,040.25;48,042.00
U;8;1;0;1;0;345;133.45;46,040.25;48,042.00
V;1;1;0;1;0;345;133.45;46,040.25;48,042.00
V;8;1;0;1;0;345;133.45;46,040.25;48,042.00
H;2;0;0;1;0;340;135.19;45,964.60;47,992.45
H;3;0;0;1;0;340;135.19;45,964.60;47,992.45
H;4;0;0;1;0;340;135.19;45,964.60;47,992.45
H;5;0;0;1;0;340;135.19;45,964.60;47,992.45
H;6;0;0;1;0;340;135.19;45,964.60;47,992.45
H;7;0;0;1;0;340;135.19;45,964.60;47,992.45
J;1;1;0;1;0;345;132.54;45,726.30;47,714.40
J;8;1;0;1;0;345;132.54;45,726.30;47,714.40
K;1;1;0;1;0;345;132.54;45,726.30;47,714.40
K;8;1;0;1;0;345;132.54;45,726.30;47,714.40
N;2;0;1;0;0;325;140.12;45,539.00;47,640.80
N;3;0;1;0;0;325;140.12;45,539.00;47,640.80
N;4;0;1;0;0;325;140.12;45,539.00;47,640.80
N;5;0;1;0;0;325;140.12;45,539.00;47,640.80
N;6;0;1;0;0;325;140.12;45,539.00;47,640.80
N;7;0;1;0;0;325;140.12;45,539.00;47,640.80
F;2;0;0;0;1;330;137.65;45,424.50;47,489.25
F;3;0;0;0;1;330;137.65;45,424.50;47,489.25
F;4;0;0;0;1;330;137.65;45,424.50;47,489.25
F;5;0;0;0;1;330;137.65;45,424.50;47,489.25
F;6;0;0;0;1;330;137.65;45,424.50;47,489.25
F;7;0;0;0;1;330;137.65;45,424.50;47,489.25
B;6;0;0;1;0;340;133.6;45,424.00;47,428.00
B;7;0;0;1;0;340;133.6;45,424.00;47,428.00
I;2;0;0;1;0;340;133.58;45,417.20;47,420.90
I;3;0;0;1;0;340;133.58;45,417.20;47,420.90
I;4;0;0;1;0;340;133.58;45,417.20;47,420.90
I;5;0;0;1;0;340;133.58;45,417.20;47,420.90
I;6;0;0;1;0;340;133.58;45,417.20;47,420.90
I;7;0;0;1;0;340;133.58;45,417.20;47,420.90
O;2;0;0;1;0;340;133.45;45,373.00;47,374.75
O;3;0;0;1;0;340;133.45;45,373.00;47,374.75
O;4;0;0;1;0;340;133.45;45,373.00;47,374.75
O;5;0;0;1;0;340;133.45;45,373.00;47,374.75
O;6;0;0;1;0;340;133.45;45,373.00;47,374.75
O;7;0;0;1;0;340;133.45;45,373.00;47,374.75
P;2;0;0;1;0;340;133.45;45,373.00;47,374.75
P;3;0;0;1;0;340;133.45;45,373.00;47,374.75
P;4;0;0;1;0;340;133.45;45,373.00;47,374.75
P;5;0;0;1;0;340;133.45;45,373.00;47,374.75
P;6;0;0;1;0;340;133.45;45,373.00;47,374.75
P;7;0;0;1;0;340;133.45;45,373.00;47,374.75
S;2;0;0;1;0;340;133.45;45,373.00;47,374.75
S;3;0;0;1;0;340;133.45;45,373.00;47,374.75
S;4;0;0;1;0;340;133.45;45,373.00;47,374.75
S;5;0;0;1;0;340;133.45;45,373.00;47,374.75
S;6;0;0;1;0;340;133.45;45,373.00;47,374.75
S;7;0;0;1;0;340;133.45;45,373.00;47,374.75
T;2;0;0;1;0;340;133.45;45,373.00;47,374.75
T;3;0;0;1;0;340;133.45;45,373.00;47,374.75
T;4;0;0;1;0;340;133.45;45,373.00;47,374.75
T;5;0;0;1;0;340;133.45;45,373.00;47,374.75
T;6;0;0;1;0;340;133.45;45,373.00;47,374.75
T;7;0;0;1;0;340;133.45;45,373.00;47,374.75
U;2;0;0;1;0;340;133.45;45,373.00;47,374.75
U;3;0;0;1;0;340;133.45;45,373.00;47,374.75
U;4;0;0;1;0;340;133.45;45,373.00;47,374.75
U;5;0;0;1;0;340;133.45;45,373.00;47,374.75
U;6;0;0;1;0;340;133.45;45,373.00;47,374.75
U;7;0;0;1;0;340;133.45;45,373.00;47,374.75
V;2;0;0;1;0;340;133.45;45,373.00;47,374.75
V;3;0;0;1;0;340;133.45;45,373.00;47,374.75
V;4;0;0;1;0;340;133.45;45,373.00;47,374.75
V;5;0;0;1;0;340;133.45;45,373.00;47,374.75
V;6;0;0;1;0;340;133.45;45,373.00;47,374.75
V;7;0;0;1;0;340;133.45;45,373.00;47,374.75
C;4;0;1;0;0;325;139.42;45,311.50;47,402.80
J;2;0;0;1;0;340;132.54;45,063.60;47,051.70
J;3;0;0;1;0;340;132.54;45,063.60;47,051.70
J;4;0;0;1;0;340;132.54;45,063.60;47,051.70
J;5;0;0;1;0;340;132.54;45,063.60;47,051.70
J;6;0;0;1;0;340;132.54;45,063.60;47,051.70
J;7;0;0;1;0;340;132.54;45,063.60;47,051.70
K;2;0;0;1;0;340;132.54;45,063.60;47,051.70
K;3;0;0;1;0;340;132.54;45,063.60;47,051.70
K;4;0;0;1;0;340;132.54;45,063.60;47,051.70
K;5;0;0;1;0;340;132.54;45,063.60;47,051.70
K;6;0;0;1;0;340;132.54;45,063.60;47,051.70
K;7;0;0;1;0;340;132.54;45,063.60;47,051.70
