MZ,LOTE,AREA,PRECIO,CONDICION,ASESOR
A,1,116.86 m2,"S/ 41,017.86",VENDIDO,MARTIN
A,2,118.62 m2,"S/ 30,841.20",,
A,3,120.37 m2,"S/ 31,298.80",,
A,4,122.13 m2,"S/ 31,753.80",,
A,5,123.89 m2,"S/ 32,211.40",,
A,6,125.65 m2,"S/ 32,669.00",,
A,7,127.41 m2,"S/ 33,126.60",,
A,8,129.17 m2,"S/ 33,584.20",,
A,9,130.93 m2,"S/ 34,041.80",,
A,10,132.69 m2,"S/ 34,499.40",,
A,11,134.45 m2,"S/ 34,957.00",,
A,12,161.90 m2,"S/ 50,512.80",,
A,13,126.00 m2,"S/ 32,760.00",,
A,14,126.00 m2,"S/ 32,760.00",,
A,15,126.00 m2,"S/ 32,760.00",,
A,16,126.00 m2,"S/ 32,760.00",,
A,17,126.00 m2,"S/ 44,226.00",SEPARADO,MARTIN
A,18,126.00 m2,"S/ 32,760.00",,
A,19,126.00 m2,"S/ 32,760.00",,
A,20,126.00 m2,"S/ 32,760.00",,
A,21,126.00 m2,"S/ 32,760.00",,
A,22,126.00 m2,"S/ 32,760.00",,
A,23,126.00 m2,"S/ 32,760.00",,
A,24,126.00 m2,"S/ 32,760.00",,
A,25,126.00 m2,"S/ 32,760.00",,
A,26,126.00 m2,"S/ 32,760.00",,
A,27,126.00 m2,"S/ 32,760.00",SEPARADO,JOHAN
A,28,126.00 m2,"S/ 44,226.00",SEPARADO,JOHAN
B,1,148.06 m2,"S/ 51,969.06",SEPARADO,PAOLA
B,2,120.00 m2,"S/ 40,560.00",VENDIDO,PAOLA
B,3,120.00 m2,"S/ 40,560.00",VENDIDO,VICTOR
B,4,120.00 m2,"S/ 40,560.00",SEPARADO,BETTY
B,5,120.00 m2,"S/ 31,200.00",SEPARADO,BETTY
B,6,120.00 m2,"S/ 31,200.00",SEPARADO,BETTY
B,7,120.00 m2,"S/ 31,200.00",,
B,8,120.00 m2,"S/ 31,200.00",,
B,9,120.00 m2,"S/ 31,200.00",,
B,10,120.00 m2,"S/ 31,200.00",,
B,11,120.00 m2,"S/ 31,200.00",,
B,12,120.00 m2,"S/ 31,200.00",,
B,13,120.00 m2,"S/ 31,200.00",,
B,14,120.00 m2,"S/ 31,200.00",VENDIDO,
B,15,120.00 m2,"S/ 31,200.00",VENDIDO,
B,16,144.00 m2,"S/ 50,544.00",VENDIDO,
B,17,108.00 m2,"S/ 36,504.00",,
B,18,108.00 m2,"S/ 36,504.00",,
B,19,108.00 m2,"S/ 36,504.00",SEPARADO,PAOLA
B,20,108.00 m2,"S/ 36,504.00",SEPARADO,PAOLA
B,21,144.00 m2,"S/ 50,544.00",SEPARADO,MARTIN
B,22,120.00 m2,"S/ 31,200.00",VENDIDO,
B,23,120.00 m2,"S/ 31,200.00",VENDIDO,
B,24,120.00 m2,"S/ 31,200.00",,
B,25,120.00 m2,"S/ 31,200.00",,
B,26,120.00 m2,"S/ 31,200.00",,
B,27,120.00 m2,"S/ 31,200.00",,
B,28,120.00 m2,"S/ 31,200.00",,
B,29,120.00 m2,"S/ 31,200.00",,
B,30,120.00 m2,"S/ 31,200.00",,
B,31,120.00 m2,"S/ 31,200.00",,
B,32,120.00 m2,"S/ 31,200.00",,
B,33,120.00 m2,"S/ 31,200.00",,
B,34,120.00 m2,"S/ 31,200.00",,
B,35,120.00 m2,"S/ 31,200.00",,
B,36,138.16 m2,"S/ 43,105.92",SEPARADO,PAOLA
C,1,127.38 m2,"S/ 39,742.56",,
C,2,128.18 m2,"S/ 33,326.80",,
C,3,128.99 m2,"S/ 33,537.40",,
C,4,129.80 m2,"S/ 33,748.00",,
C,5,130.61 m2,"S/ 33,958.60",,
C,6,131.41 m2,"S/ 34,166.60",,
C,7,132.22 m2,"S/ 34,377.20",,
C,8,149.51 m2,"S/ 46,647.12",SEPARADO,PAOLA
C,9,126.00 m2,"S/ 32,760.00",,
C,10,126.00 m2,"S/ 32,760.00",,
C,11,126.00 m2,"S/ 32,760.00",,
C,12,126.00 m2,"S/ 32,760.00",SEPARADO,MARTIN
C,13,135.00 m2,"S/ 47,385.00",SEPARADO,MARTIN
C,14,129.00 m2,"S/ 33,540.00",,
C,15,129.00 m2,"S/ 33,540.00",,
C,16,129.00 m2,"S/ 33,540.00",,
C,17,129.00 m2,"S/ 33,540.00",,
C,18,129.00 m2,"S/ 33,540.00",,
C,19,129.00 m2,"S/ 33,540.00",,
C,20,129.00 m2,"S/ 40,248.00",,
D,1,120.00 m2,"S/ 42,120.00",VENDIDO,JOHAN
D,2,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN
D,3,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN
D,4,120.00 m2,"S/ 31,200.00",,
D,5,168.32 m2,"S/ 52,515.84",SEPARADO,MARTIN
D,6,128.29 m2,"S/ 33,355.40",,
D,7,130.05 m2,"S/ 33,813.00",,
D,8,131.81 m2,"S/ 34,270.60",,
D,9,133.57 m2,"S/ 34,728.20",,
D,10,180.83 m2,"S/ 56,160.00",,
D,11,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN
D,12,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN
D,13,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN
D,14,120.00 m2,"S/ 42,120.00",VENDIDO,PAOLA
E,1,120.00 m2,"S/ 37,440.00",,
E,2,120.00 m2,"S/ 31,200.00",,
E,3,120.00 m2,"S/ 31,200.00",,
E,4,120.00 m2,"S/ 31,200.00",,
E,5,120.00 m2,"S/ 31,200.00",,
E,6,120.00 m2,"S/ 31,200.00",VENDIDO,
E,7,120.00 m2,"S/ 31,200.00",VENDIDO,
E,8,144.00 m2,"S/ 50,544.00",VENDIDO,
E,9,108.00 m2,"S/ 36,504.00",VENDIDO,JOHAN
E,10,108.00 m2,"S/ 36,504.00",VENDIDO,JOHAN
E,11,108.00 m2,"S/ 36,504.00",VENDIDO,JOHAN
E,12,108.00 m2,"S/ 36,504.00",SEPARADO,JOHAN
E,13,144.00 m2,"S/ 50,544.00",SEPARADO,MARTIN
E,14,120.00 m2,"S/ 31,200.00",VENDIDO,
E,15,120.00 m2,"S/ 31,200.00",VENDIDO,
E,16,120.00 m2,"S/ 31,200.00",,
E,17,120.00 m2,"S/ 31,200.00",,
E,18,120.00 m2,"S/ 31,200.00",,
E,19,120.00 m2,"S/ 31,200.00",,
E,20,120.00 m2,"S/ 37,440.00",,
F,1,120.00 m2,"S/ 42,120.00",VENDIDO,JOHAN
F,2,120.00 m2,"S/ 40,560.00",VENDIDO,JOHAN
F,3,120.00 m2,"S/ 40,560.00",,
F,4,120.00 m2,"S/ 40,560.00",,
F,5,120.00 m2,"S/ 40,560.00",,
F,6,120.00 m2,"S/ 40,560.00",,
F,7,120.00 m2,"S/ 40,560.00",,
F,8,120.00 m2,"S/ 40,560.00",,
F,9,120.00 m2,"S/ 31,200.00",,
F,10,120.00 m2,"S/ 31,200.00",,
F,11,120.00 m2,"S/ 31,200.00",,
F,12,120.00 m2,"S/ 31,200.00",,
F,13,120.00 m2,"S/ 31,200.00",,
F,14,120.00 m2,"S/ 31,200.00",,
F,15,120.00 m2,"S/ 31,200.00",,
F,16,121.96 m2,"S/ 38,051.52",,
F,17,141.51 m2,"S/ 44,151.12",SEPARADO,JOHAN
F,18,120.00 m2,"S/ 31,200.00",,
F,19,120.00 m2,"S/ 31,200.00",,
F,20,120.00 m2,"S/ 31,200.00",,
F,21,120.00 m2,"S/ 31,200.00",,
F,22,120.00 m2,"S/ 31,200.00",,
F,23,120.00 m2,"S/ 40,560.00",,
F,24,120.00 m2,"S/ 40,560.00",,
F,25,120.00 m2,"S/ 40,560.00",,
F,26,120.00 m2,"S/ 40,560.00",,
F,27,120.00 m2,"S/ 40,560.00",,
F,28,120.00 m2,"S/ 40,560.00",,
F,29,120.00 m2,"S/ 40,560.00",,
F,30,120.00 m2,"S/ 40,560.00",,
F,31,120.00 m2,"S/ 40,560.00",,
F,32,120.00 m2,"S/ 42,120.00",VENDIDO,JOHAN
G,1,120.00 m2,"S/ 37,440.00",,
G,2,120.00 m2,"S/ 31,200.00",,
G,3,120.00 m2,"S/ 31,200.00",,
G,4,120.00 m2,"S/ 31,200.00",,
G,5,120.00 m2,"S/ 31,200.00",,
G,6,120.00 m2,"S/ 31,200.00",,
G,7,120.00 m2,"S/ 31,200.00",,
G,8,120.00 m2,"S/ 31,200.00",,
G,9,120.00 m2,"S/ 31,200.00",,
G,10,120.00 m2,"S/ 42,120.00",SEPARADO,JOHAN
G,11,120.00 m2,"S/ 42,120.00",VENDIDO,
G,12,120.00 m2,"S/ 31,200.00",VENDIDO,
G,13,120.00 m2,"S/ 31,200.00",VENDIDO,
